model_year,milage,price,brand_encoded,model_encoded,fuel_type_Diesel,fuel_type_E85 Flex Fuel,fuel_type_Gasoline,fuel_type_Hybrid,fuel_type_Plug-In Hybrid,fuel_type_not supported,fuel_type_–,engine_encoded,transmission_encoded,ext_col_encoded,int_col_encoded,accident_At least 1 accident or damage reported,accident_None reported,clean_title_Yes,car_age,price_per_mile,value_category
-0.2683446946626872,70000.0,20000.0,4,1880,False,False,True,False,False,False,False,329,38,304,10,True,False,True,10.0,0.28571020413994086,1
-0.7773151476997986,20200.0,79950.0,5,489,False,True,False,False,False,False,False,1027,16,29,14,False,True,True,13.0,3.9577248651056878,3
1.258566664448647,2978.0,45498.0,17,1197,False,False,True,False,False,False,False,543,40,160,71,False,True,True,1.0,15.272910372608258,2
-1.455942418415947,189719.0,14000.0,11,1610,True,False,False,False,False,False,False,531,10,304,71,True,False,True,17.0,0.07379295804343243,0
0.5799393937324986,9949.0,75798.0,4,993,False,False,True,False,False,False,False,820,40,38,14,False,True,True,5.0,7.617889447236181,3
1.08890984676961,3552.0,119999.0,30,258,False,False,True,False,False,False,False,1011,0,234,10,False,True,True,2.0,33.77399380804953,3
-0.6076583300207614,54000.0,36880.0,3,196,False,False,True,False,False,False,False,623,31,29,31,True,False,True,12.0,0.6829503157348938,2
0.9192530290905728,51351.0,43147.0,9,1557,False,False,True,False,False,False,False,972,40,29,79,False,True,True,3.0,0.8402204393207665,2
0.24062575837442426,24280.0,29000.0,31,493,False,False,True,False,False,False,False,309,16,29,14,True,False,True,7.0,1.1943494913718546,1
0.07096894069538712,89148.0,17500.0,53,284,False,False,True,False,False,False,False,417,38,29,14,False,True,True,8.0,0.19630057544111543,1
0.24062575837442426,73043.0,30990.0,43,429,False,False,True,False,False,False,False,580,31,304,14,False,True,True,7.0,0.4242648266798094,1
0.24062575837442426,60000.0,52500.0,36,210,False,False,True,False,False,False,False,992,59,128,14,True,False,True,7.0,0.8749854169097182,3
0.07096894069538712,73549.0,20848.0,17,360,False,False,True,False,False,False,False,210,41,187,14,True,False,True,8.0,0.28345343303874915,1
-1.7952560537740214,110900.0,19500.0,18,852,False,False,True,False,False,False,False,672,38,128,14,False,True,True,19.0,0.17583249925609326,1
-0.4380015123417243,39000.0,73000.0,43,153,False,False,True,False,False,False,False,833,23,38,14,False,True,True,11.0,1.8717468782851723,3
0.07096894069538712,120000.0,19800.0,36,350,False,False,True,False,False,False,False,263,59,29,14,False,True,True,8.0,0.16499862501145823,1
-1.116628783057873,134602.0,7500.0,10,33,False,False,True,False,False,False,False,365,59,38,14,False,True,True,15.0,0.05571941190018053,0
1.258566664448647,1094.0,30999.0,39,1363,False,False,True,False,False,False,False,5,41,57,81,False,True,True,1.0,28.30958904109589,1
-0.9469719653788358,83500.0,6500.0,3,166,False,False,True,False,False,False,False,236,59,263,14,False,True,True,14.0,0.07784337912120813,0
-0.2683446946626872,37060.0,28500.0,14,1122,False,False,True,False,False,False,False,878,20,29,14,False,True,True,10.0,0.7690024554113488,1
-0.9469719653788358,97700.0,10995.0,0,1302,False,False,True,False,False,False,False,582,59,38,10,False,True,True,14.0,0.11253723093929438,0
0.4102825760534614,40000.0,42000.0,55,1827,False,False,False,False,True,False,False,828,59,29,14,False,True,True,6.0,1.0499737506562337,2
0.4102825760534614,8940.0,144900.0,3,1282,False,False,True,False,False,False,False,969,25,286,14,False,True,True,6.0,16.20624091264959,3
-0.2683446946626872,186000.0,10000.0,36,774,False,False,True,False,False,False,False,596,38,29,10,True,False,True,10.0,0.05376315181101177,0
0.9192530290905728,13180.0,23998.0,53,343,False,False,True,False,False,False,False,190,51,318,155,False,True,True,3.0,1.8206509369547075,1
-0.2683446946626872,104000.0,21000.0,27,886,False,False,True,False,False,False,False,616,31,29,14,False,True,True,10.0,0.20192113537369832,1
1.258566664448647,8500.0,67900.0,4,1793,False,False,False,True,False,False,False,780,59,128,10,False,True,True,1.0,7.987295612280908,3
0.5799393937324986,19069.0,69998.0,4,977,False,False,True,False,False,False,False,515,40,2,5,False,True,True,5.0,3.670582066072365,3
1.258566664448647,6090.0,46900.0,8,366,False,False,True,False,False,False,False,324,38,304,10,False,True,True,1.0,7.699885076342144,2
1.08890984676961,4900.0,99000.0,30,258,False,False,True,False,False,False,False,1011,0,234,14,False,True,True,2.0,20.199959192001632,3
0.5799393937324986,47523.0,31000.0,3,177,False,False,True,False,False,False,False,356,59,29,14,False,True,True,5.0,0.652301994781584,1
-1.6255992360949842,43000.0,19995.0,10,35,False,False,True,False,False,False,False,886,10,263,14,True,False,True,18.0,0.4649891862979931,1
0.24062575837442426,14684.0,130000.0,5,488,False,False,True,False,False,False,False,1053,31,304,152,False,True,True,7.0,8.85257065032346,3
0.5799393937324986,57800.0,55999.0,4,976,False,False,True,False,False,False,False,884,59,29,118,False,True,True,5.0,0.9688240687877372,3
1.258566664448647,952.0,49950.0,53,778,False,False,True,False,False,False,False,571,20,263,71,False,True,True,1.0,52.41343126967471,2
0.5799393937324986,21240.0,59950.0,3,1307,False,False,True,False,False,False,False,908,31,29,14,True,False,True,5.0,2.8223718280683583,3
0.5799393937324986,59338.0,42499.0,43,423,False,False,True,False,False,False,False,691,59,29,14,False,True,True,5.0,0.7162068791182865,2
1.258566664448647,255.0,359991.0,25,874,False,False,True,False,False,False,False,967,40,16,102,False,True,True,1.0,1406.21484375,3
0.5799393937324986,23230.0,44999.0,32,1271,False,False,True,False,False,False,False,883,31,29,14,False,True,True,5.0,1.937023804399294,2
0.24062575837442426,48000.0,30000.0,21,1838,False,False,True,False,False,False,False,699,38,234,14,True,False,True,7.0,0.6249869794379284,1
-1.7952560537740214,41059.0,11100.0,27,568,False,False,True,False,False,False,False,301,10,304,10,False,True,True,19.0,0.2703360935216756,0
0.7495962114115357,21240.0,37998.0,26,1389,False,False,True,False,False,False,False,190,40,304,14,False,True,True,4.0,1.788898827738807,2
-0.09868787698365002,11500.0,72000.0,43,436,False,False,True,False,False,False,False,700,23,263,155,False,True,True,9.0,6.26032518911399,3
0.9192530290905728,9950.0,53950.0,16,757,False,False,True,False,False,False,False,752,31,263,28,False,True,True,3.0,5.42156567179178,3
